Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
31-01-2013,328.299988,328.950012,320.049988,321.524994,321.524994,6944192,22327.31291
01-02-2013,322.399994,322.424988,318.100006,320.075012,320.075012,5242072,16778.56258
04-02-2013,320.575012,324.75,320,323.450012,323.450012,5237900,16941.98818
05-02-2013,318.174988,323.600006,318.174988,322.075012,322.075012,3730010,12013.43016
06-02-2013,323.299988,323.450012,318.600006,319.75,319.75,4936794,15785.39882
07-02-2013,318.149994,321.5,317.274994,320.75,320.75,4541418,14566.59824
08-02-2013,320.25,326.700012,320.25,325.024994,325.024994,9413328,30595.66877
11-02-2013,325,329.975006,325,328.475006,328.475006,7583530,24910.00062
12-02-2013,327.825012,333.5,327.825012,332.600006,332.600006,7916418,26330.00674
13-02-2013,331.649994,333.700012,329.75,332.100006,332.100006,7254416,24091.91597
14-02-2013,332,339.200012,331,337.399994,337.399994,8842076,29833.16389
15-02-2013,335.850006,340.399994,334.100006,338.375,338.375,6244390,21129.45466
18-02-2013,339,340.450012,337,338,338,4734582,16002.88716
19-02-2013,337.25,338.700012,335.774994,337.399994,337.399994,1187406,4006.307773
20-02-2013,338.75,340.399994,337.450012,338.475006,338.475006,3430842,11612.54267
21-02-2013,337.5,338.725006,332.024994,333.125,333.125,5435936,18108.4618
